generated_utc,git_commit,pytest_label,nodeid,test_file,test_class,test_name,outcome,duration_ms,exception_type,exception_message,first_project_frame,markers
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_banking_core.py::test_DOM_CLASS_001__pending_transaction_settles_without_void_filter,tests/dom/class/test_banking_core.py,,test_DOM_CLASS_001__pending_transaction_settles_without_void_filter,pass,678,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_banking_core.py::test_DOM_CLASS_001__void_posted_transaction_creates_reversal,tests/dom/class/test_banking_core.py,,test_DOM_CLASS_001__void_posted_transaction_creates_reversal,pass,675,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_banking_core.py::test_DOM_CLASS_001__settlement_sweep_processes_each_pending_context_once,tests/dom/class/test_banking_core.py,,test_DOM_CLASS_001__settlement_sweep_processes_each_pending_context_once,pass,1139,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_banking_core.py::test_DOM_CLASS_001__settlement_script_returns_nonzero_when_failures,tests/dom/class/test_banking_core.py,,test_DOM_CLASS_001__settlement_script_returns_nonzero_when_failures,pass,1,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_banking_settings_class_scope.py::test_DOM_CLASS_001__banking_surface_renders_as_guarded_real_page,tests/dom/class/test_banking_settings_class_scope.py,,test_DOM_CLASS_001__banking_surface_renders_as_guarded_real_page,pass,772,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_banking_settings_persistence.py::test_DOM_CLASS_001__banking_settings_persist_interest_and_overdraft,tests/dom/class/test_banking_settings_persistence.py,,test_DOM_CLASS_001__banking_settings_persist_interest_and_overdraft,pass,675,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_banking_settings_persistence.py::test_DOM_CLASS_001__simple_interest_forces_never_compounding,tests/dom/class/test_banking_settings_persistence.py,,test_DOM_CLASS_001__simple_interest_forces_never_compounding,pass,719,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_banking_settings_persistence.py::test_DOM_CLASS_001__blank_overdraft_fee_disables_the_fee,tests/dom/class/test_banking_settings_persistence.py,,test_DOM_CLASS_001__blank_overdraft_fee_disables_the_fee,pass,701,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_banking_settings_persistence.py::test_DOM_CLASS_001__banking_settings_surface_renders_overdraft_and_interest_controls,tests/dom/class/test_banking_settings_persistence.py,,test_DOM_CLASS_001__banking_settings_surface_renders_overdraft_and_interest_controls,pass,705,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_banking_settings_persistence.py::test_DOM_CLASS_001__interest_apy_over_100_is_rejected,tests/dom/class/test_banking_settings_persistence.py,,test_DOM_CLASS_001__interest_apy_over_100_is_rejected,pass,700,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_class_destruction_feat_identity.py::test_the_feat_registry_separates_creating_a_class_from_destroying_one,tests/dom/class/test_class_destruction_feat_identity.py,,test_the_feat_registry_separates_creating_a_class_from_destroying_one,pass,0,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_class_destruction_feat_identity.py::test_no_destruction_entry_point_is_declared_under_the_creation_feat,tests/dom/class/test_class_destruction_feat_identity.py,,test_no_destruction_entry_point_is_declared_under_the_creation_feat,pass,104,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_class_destruction_feat_identity.py::test_the_guard_catches_a_destruction_path_declared_under_creation,tests/dom/class/test_class_destruction_feat_identity.py,,test_the_guard_catches_a_destruction_path_declared_under_creation,pass,81,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_class_destruction_feat_identity.py::test_deleting_a_class_executes_under_feat_class_006,tests/dom/class/test_class_destruction_feat_identity.py,,test_deleting_a_class_executes_under_feat_class_006,pass,1349,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_class_destruction_feat_identity.py::test_deleting_the_last_class_still_executes_under_teacher_destruction,tests/dom/class/test_class_destruction_feat_identity.py,,test_deleting_the_last_class_still_executes_under_teacher_destruction,pass,732,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_class_destruction_feat_identity.py::test_audit_lineage_names_the_destruction_feat_not_the_creation_feat,tests/dom/class/test_class_destruction_feat_identity.py,,test_audit_lineage_names_the_destruction_feat_not_the_creation_feat,pass,1357,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_class_destruction_feat_identity.py::test_a_class_that_became_the_last_one_is_refused_not_destroyed,tests/dom/class/test_class_destruction_feat_identity.py,,test_a_class_that_became_the_last_one_is_refused_not_destroyed,pass,1227,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_class_destruction_feat_identity.py::test_a_failure_during_teardown_leaves_the_class_whole,tests/dom/class/test_class_destruction_feat_identity.py,,test_a_failure_during_teardown_leaves_the_class_whole,pass,1386,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_class_destruction_feat_identity.py::test_destruction_leaves_no_row_scoped_to_the_destroyed_class,tests/dom/class/test_class_destruction_feat_identity.py,,test_destruction_leaves_no_row_scoped_to_the_destroyed_class,pass,1373,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_feature_flag_enforcement.py::test_DOM_CLASS_001__transfer_allowed_when_banking_enabled,tests/dom/class/test_feature_flag_enforcement.py,,test_DOM_CLASS_001__transfer_allowed_when_banking_enabled,pass,230,,,,critical|regression
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_feature_flag_enforcement.py::test_DOM_CLASS_001__transfer_rejected_with_wrong_pin,tests/dom/class/test_feature_flag_enforcement.py,,test_DOM_CLASS_001__transfer_rejected_with_wrong_pin,pass,117,,,,critical|regression
